,title,view,upload_date,like,description
373,India's Biggest Technical Content Writing Event is now LIVE 🔴 Participate Now | GeeksforGeeks,880 views,2 years ago,About,"📝 GeeksforGeeks presents ✨ TECHNICAL SCRIPTER EVENT 2022 ✨– an opportunity to hone your technical writing abilities and get paid fancy, whether you are a student, a graduate, a working professional, or trying to create a career in technology. This event would bring numerous re"
374,Landing SDE Role at Paytm | GeeksforGeeks,1.5K views,2 years ago,About,"Is Paytm your dream company? Are you looking forward to sit for an interview at Paytm?
If your answer is ""Yes"", then you have got to have a lot of questions and queries regarding the interviews at Paytm."
375,SDE at Paytm using GFG | GeeksforGeeks,1.4K views,2 years ago,About,Becoming a Software Development Engineer at a big MNC company is every programmers dream. So why not take some advices form an SDE from Paytm himself and get some insights about how he prepared himself for this great leap in his career.
376,Roadmap to a Career at Amazon | Preparation Strategies by Senior QAE | GeeksforGeeks,8K views,2 years ago,About,"💼 Is Amazon your dream company? Are you looking forward to sit for an interview at Amazon?
If your answer is ""Yes"", then you have got to have a lot of questions and queries regarding the interviews at Amazon."
377,Happy Diwali | GeeksforGeeks presents office Diwali Party,1.4K views,2 years ago,About,"Our courses : 
"
378,Data Analysis Complete Roadmap | GeeksforGeeks,3.9K views,2 years ago,Videos,"In today's world, Data is the most valued resource for any organisation. Proper analysis of data not only helps companies keep track of their growth or loss, but also helps them monitor their users so that they can maximise their profit. Thus Data Analytics, a sub domain of Data Science hold"
379,Roadmap to a Career at Microsoft | Preparation Strategies by Microsoft SDE | GeeksforGeeks,5.9K views,2 years ago,Videos,"💼 Is Microsoft your dream company? Are you looking forward to sit for an interview at Microsoft?
If your answer is ""Yes"", then you have got to have a lot of questions and queries regarding the interviews at Microsoft."
380,Geek Week 2022 |11th - 17th October | GeeksforGeeks,3.4K views,2 years ago,About,"The Biggest Programming Festival is back yet again with loads of fun, games, events and offers! Starting from 11th-17th October!
"
381,Happy Dussehra 🔥,1.6K views,2 years ago,About,"A very Happy Dussehra to all!

Our courses:  "
382,Stay Tuned for a Big Surprise!!! | GeeksforGeeks,3.1K views,2 years ago,X,"📢 We have got some Big things planned in store for all the Geeks!!
So Stay Tuned !!
"
383,GeeksforGeeks Goes to Delhi Technological University | GfG X DTU,1.8K views,2 years ago,About,"Here's the fun that went down at Delhi Technological University when GfG visited them! Wish to invite us to your campus too? Write to us at campus@geeksforgeeks.org
"
384,Roadmap to a CAREER AT WALMART | Preparation Strategies by Walmart SDE | GeeksforGeeks,7.5K views,2 years ago,Videos,"💼 Is Walmart the company that you are targeting?
If your answer is ""Yes"", then you have got to have alot of questions and queries regarding the interviews at Walmart."
385,EP 12 - Roadmap to Web Development | Everything About Web Development Ft. Prakash Sakari,2.9K views,2 years ago,Videos,"Have you ever wanted to create awesome websites which you can show people and say ""I developed it myself""?
Has browsing through some websites made you wonder, ""how can i make something like th"
386,EP 11 - Road Map of DSA for Web Development | Everything About Web Development Ft. Prakash Sakari,4.2K views,2 years ago,About,"Have you ever wanted to create awesome websites which you can show people and say ""I developed it myself""?
Has browsing through some websites made you wonder, ""how can i make something like th"
387,EP 10 - Biggest Coding Mistakes | Everything About Web Development,2.3K views,2 years ago,Videos,"Have you ever wanted to create awesome websites which you can show people and say ""I developed it myself""?
Has browsing through some websites made you wonder, ""how can I make something like th"
388,EP 9 - Overrated Topics in Web Development | Everything About Web Development,1K views,2 years ago,About,"Have you ever wanted to create awesome websites which you can show people and say ""I developed it myself""?
Has browsing through some websites made you wonder, ""how can i make something like th"
389,EP 8 -  How Important is UI for Websites? | Everything About Web Development,927 views,2 years ago,About,"Have you ever wanted to create awesome websites which you can show people and say ""I developed it myself""?
Has browsing through some websites made you wonder, ""how can i make something like th"
390,EP 7 - Underrated Topics in Web Development | Everything About Web Development,1K views,2 years ago,About,"Have you ever wanted to create awesome websites which you can show people and say ""I developed it myself""?
Has browsing through some websites made you wonder, ""how can i make something like th"
391,EP 6 - Frameworks to Choose for Web Development | Everything About Web Development,1.2K views,2 years ago,About,"Have you ever wanted to create awesome websites which you can show people and say ""I developed it myself""?
Has browsing through some websites made you wonder, ""how can i make something like th"
392,EP 5 - What is Frontend and Backend Development? | Everything About Web Development,1.9K views,2 years ago,About,"Have you ever wanted to create awesome websites which you can show people and say ""I developed it myself""?
Has browsing through some websites made you wonder, ""how can i make something like th"
393,"EP 4 - Is HTML, CSS and JavaScript Enough? | Everything About Web Development Ft. Prakash Sakari",3.5K views,2 years ago,About,"Hello everyone, we are here with a series on web development, where our mentor Prakash Sakari, will be clearing all the doubts and answering some frequently asked questions.
"
394,EP 3 - Web Developers vs Website Builders | Everything About Web Development,2.3K views,2 years ago,About,"Hello everyone, we are here with a series on web development, where our mentor Prakash Sakari, will be clearing all the doubts and answering some frequently asked questions.
"
395,EP 2 - Future of Web Development | Everything About Web Development,4.6K views,2 years ago,About,"Hello everyone, we are here with a series on web development, where our mentor Prakash Sakari, will be clearing all the doubts and answering some frequently asked questions.
"
396,EP 1 - Web 3.0 Explained! Web 1.0 vs Web 2.0 vs Web3.0 | Everything About Web Development,4.6K views,2 years ago,Videos,"Join us on our 1st Episode [Web 3.0 Explained!] as we delve into the world of web development, covering the evolution from Web 1.0 to cutting-edge Web 3.0. 
"
397,Job or Higher Studies? The BEST Choice After Graduation! Ft. Avinash Kumar | GeeksforGeeks,8.2K views,2 years ago,Videos,"In today's video, we have our mentor Prakash Sakari, along with our senior mentor Avinash Kumar. They will discuss what a student should do after graduation, start working for a company/startup or go for higher studies?"
398,Capture Your Dream Job with Job-A-Thon | Monthly Hiring Challenges by GeeksforGeeks,3K views,2 years ago,About,"Be the Super Geek and capture your Dream Job.
Only with the super power of Job-A-Thon.
(Held on 21st of every Month!)"
399,Walmart Interview Experience 2022 | Walmart Interview Questions | GeeksforGeeks,20K views,2 years ago,Videos,"In this video,Ayushi Sharma will share her interview experience with Walmart. 🌟

Muskan Agarwal will be our host today. Ayushi completed her Btech in Computer Science fr"
400,How A Medical Aspirant Cracked FAANG? | Amazon Interview Experience | GeeksforGeeks,3.1K views,2 years ago,Videos,"In this video, Twinkle Bajaj will share how one can crack FAANG companies. 🔥

Mehak will be our host today. Twinkle is an SDE at Amazon! She graduated from Jalpaiguri "
401,Refer And Earn | Referral Program By GeeksforGeeks,2.7K views,2 years ago,Videos,"""To share is to care""
For the first time ever, we bring to you an opportunity to earn while you learn from our courses. If you have ever bought any of our courses, then you can share your personalised coupon cod"
402,A++ Advice To Get Your Dream Job | GeeksforGeeks ft. ‪@thegeekmonk1707‬,4.7K views,2 years ago,About,"They say, 'Practice makes you perfect' Why don't you practice with the most trusted resources out there and take a step towards your dream job!
"
403,Dream Company Ka Sapna Ab Hoga Poora | GeeksforGeeks ft. ‪@shashank_mishra‬,5.5K views,2 years ago,About,"""All your friends are toxic, ambitionless, so lazy and so negative...""
Don't Be Like Them! GfG Karlo, Ho Jayega!
"
404,"GfG Karlo, Ho Jayega! | GeeksforGeeks ft. ‪@itssiddharthsingh‬",6.1K views,2 years ago,About,"Get access to ultimate skill-building workshops, exclusive courses, and placement guidance with GeeksforGeeks!
GfG Karlo, Ho Jayega!"
405,Refer Your Friends: Learn And Earn Together | Refer & Earn | GeeksforGeeks,1.8K views,2 years ago,About,"""To share is to care""
For the first time ever, we bring to you an opportunity to earn while you learn from our courses. If you have bought any of our courses, then you can share your personalised coupon code whi"
406,Job-A-Thon Exclusive: Hiring Challenge For Amazon Alexa | GeeksforGeeks,3.9K views,2 years ago,About,"An exclusive opportunity for individuals looking for SDE 2 | SDET profiles, GfG brings to you a hiring challenge to become a part of the Amazon India team! Participate in our Job-A-Thon, partnered with Amazon,  and find yourself in the hot seat for an interview opportunity for one of the m"
407,Presenting Coders Ka Dost | GeeksforGeeks Ft. ‪@Hustle_With_Harman‬,7.7K views,2 years ago,About,"As the saying goes, ""You got a friend in me""
Toh ab GfG Karlo, Ho Jayega 😉
"
408,How To Crack FAANG Companies As A Tier-3 College Student? | GeeksforGeeks,8.5K views,2 years ago,Videos,"In this video, Mukul Kumar will share how one can crack FAANG companies. 🔥

Muskan Agarwal will be our host today. Mukul is an SDE at Amazon! He will share his journe"
409,Weekly Interview Series By GeeksforGeeks | Practice Interview Problems,81K views,2 years ago,X,"Participate in Interview Series every Sunday for free and get a chance to win rewards and GeekBits. Participate in contests every Sunday at 7 PM to prepare for coding interview rounds of top tech giants. Appear on monthly leaderboard, practice and level up! "
410,THIS Will Make You RICH! | Make Money Sitting at Home | GeeksforGeeks,7.2K views,2 years ago,Videos,"In today’s video, Our Mentor Prakash Sakari will share 8 easy and effective ways to make money from home!
"
411,Geek-O-Lympics 2022 | GeeksforGeeks,3.7K views,2 years ago,About,"Job-A-thon, 24 hour Doubt Marathon, Geek-Streak, Cheat-Code, Easiest Coding Contest, Amazon Job-A-Thon, Summer Interview Prep, BGMI, and a lot more fun and learning await your summers! 
"
412,How To Land A Consultancy Job Without An MBA?  Ft. Dhairya Gangwani | GeeksforGeeks,18K views,2 years ago,Videos,"In today's video, we have Dhairya Gangwani, founder and career coach at Dhairya Decodes.

Dhairya has worked as an SAP Associate Consultant at KPMG in India for 2.7 years primaril"
413,"DON'T Repeat These 5 Coding Mistakes! Ft. Prakash Sakari, Mentor - GeeksforGeeks",6.7K views,2 years ago,Videos,"In today's video, our mentor Prakash Sakari will share 5 coding mistakes that students should avoid!
"
414,Delivery Hero Interview Experience 2022 | Delivery Hero Interview Questions | GeeksforGeeks,6.3K views,2 years ago,Videos,"In this video, Rohan Verma will share his interview experience with DeliveryHero, a German multinational online food-delivery service. 🌟
"
415,Geek-O-Lympics 2022 LIVE Now | GeeksforGeeks,3.5K views,2 years ago,X,"What's a Geek with all work and no fun? We wouldn't know. We always have something to keep them on their toes. We bring you Geek-O-lympics 2022, the ultimate coding and gaming contest. Get ready for a month long roller coaster of coding, games, and fun activities. What's more? "
416,Geek-O-Lympics 2022,3.4K views,2 years ago,About,"What's a Geek with all work and no fun? We wouldn't know. We always have something to keep them on their toes. We bring you Geek-O-lympics 2022, the ultimate coding and gaming contest. Get ready for a month long roller coaster of coding, games, and fun activities. What's more? "
417,"Not from tier 1 college? No problem! | GeeksforGeeks ft‪@TharunSpeaks‬  | GfG Karlo, Ho Jayega!",9.1K views,2 years ago,About,"Every student in their lives has strived hard for one thing of paramount importance: a successful life. Throughout the learning journey of youngsters in India, there has been a narrative that only those students get high-paying jobs in MNCs that carry the tag of a tier 1 college. "
418,Spend Your Summer Vacations Wisely! Ft. Sandeep Sir | GeeksforGeeks,9.7K views,2 years ago,Videos,"🌞 It's time to use your summer vacations to skill up yourself with Free resources at GeeksforGeeks.
Practice multiple coding problems, read interview experience, and participate in Job-A-Thon"
419,PayPal Interview Experience 2022 | PayPal Interview Questions | GeeksforGeeks,12K views,2 years ago,Videos,"In this video, Ujjwal Mittal will share his interview experience with PayPal.  🌟

Dhvani Gupta will be our host today. Ujjwal is a final year(BTech-CSE) student at Jaypee Inst"
420,"Zabardast Gyaan | GeeksforGeeks ft. ‪@IqlipseNova‬   | GfG Karlo, Ho Jayega!",28K views,2 years ago,About,"Yeh coding nhi asaan without the right gyaan. Aur coding gyaan ka bhandaar lekar aa gya hai GeeksforGeeks! 
"
421,Google Interview Experience 2022 | Google Interview Process | GeeksforGeeks,64K views,2 years ago,Videos,"In this video, Utkarsh Nigam will share his interview experience with Google. 🌟

Mishika Khandelwal will be our host today. Utkarsh is a CSE undergraduate student at Punja"
422,Happy Fathers Day | GeeksforGeeks,2.2K views,2 years ago,About,"Wishing all the Fathers around the world, 🎉🎈Happy Fathers Day🎈🎉

-----------------------------------------------------------------------------------------"
423,From One Aspirant To Another | GeeksforGeeks ft. Naveen Kasturia,3.4K views,2 years ago,About,"Agar dil mein coding ka khaab lekar chal rahe ho toh aspirant ho tum. 
Aur tumhari inhi aspirations ko poora karne mein tumhari help karega GeeksforGeeks!
"
424,"How to Prepare a Winning Resume in 5 Steps Ft. Prakash Sakari, Mentor - GeeksforGeeks",3.6K views,2 years ago,Videos,"In today's video, our mentor Prakash Sakari will share how you can build an impressive resume in 5 easy steps.
"
425,One Stop Destination To Succeed In The World Of Coding! | GeeksforGeeks ft. Mayur More,33K views,2 years ago,About,"Get help with your coding problems, find top tech jobs, practice daily with the help of free resources, master new skills & become a top learner and earner! And don't forget to tell your freinds- GfG Karlo, Ho Jayega!"
426,Hotstar Interview Experience 2022 | Hotstar Interview Process | GeeksforGeeks,9.2K views,2 years ago,Videos,"In this video, Dibyendu Biswas will share his interview experience with Hotstar. 🌟

Muskan Agarwal will be our host today. Dibyendu is currently a 4th-year student of IIT KGP, "
427,"GeeksforGeeks Goes To Dronacharya College, Gurugram",1.5K views,2 years ago,X,"Who says that Geeks don't have fun? Witness the madness as we took over the Guru Dronacharya College, Gurugram campus with a challenge and exciting rewards in the end! Watch the full "
428,BEST Opportunities For Women In Technology | Internships & Courses #shorts,2.8K views,2 years ago,About,"There is an increasing amount of evidence to show that a more diverse workforce creates a more successful & sustainable business. 
"
429,GeeksforGeeks Goes To KIET Ghaziabad,2.9K views,2 years ago,X,Who says that Geeks don't have fun? Witness the madness as we took over the KIET GAZIABAD campus with a challenge and exciting rewards in the end! Watch the full video to know more about it.
430,Top 8 Reasons to Choose Java | GeeksforGeeks,3.6K views,2 years ago,Videos,"Java is one of the most popular programming languages as it can be used to design customized applications that are light and fast and serve a variety of purposes. According to the TIOBE Index for April 2019, Java is the number one programming language. In this video, we will be cove"
431,Welcome Sandeep Jain at KIET Ghaziabad | GeeksforGeeks,2.2K views,2 years ago,About,The seminar was held on 16th May at KIET Ghaziabad. This is just an glimpse of Sandeep Sir talking about how to scale your knowledge in computer science. How to solve your difficulties while studying in your engineering. This is going to be an interesting session and a must watch on
432,How I got into Amazon as a SDE | GeeksforGeeks,6.4K views,2 years ago,Videos,"Our courses : 
"
433,What RBR has to say about GeeksforGeeks,16K views,2 years ago,About,"Our courses : 
"
434,From Tier 3 to Amazon | GeeksforGeeks,3.1K views,2 years ago,Videos,"Our courses : 
"
435,Interview Experience at Amazon | GeeksforGeeks,3.8K views,2 years ago,Videos,"Our courses : 
"
436,"A Brighter Future Awaits | GfG Karlo, Ho Jayega | GeeksforGeeks Ft. Urvi Singh",26K views,2 years ago,About,Kota ki factory se College ki galliyon tak- Bohot hustle kar liya. Ab apni struggle ko success mein badlo- GfG Karlo!
437,My interview experience at Walmart | GeeksforGeeks,2.8K views,2 years ago,Videos,"Our courses : 
"
438,How I got job offers from 2 big companies : Arcesium & Microsoft | GeeksforGeeks,3K views,2 years ago,Videos,"Our courses : 
"
439,"GFG Karlo, Ho Jayega | GeeksforGeeks ft. Khaleel Ahmed",40K views,2 years ago,About,Khaleel Ahmed has some tips for you that can help you level up your skills on the coding battlegrounds!
440,Complete Interview Preparation Course | GeeksforGeeks,7.7K views,2 years ago,About,"Time's getting tough? We are here to remind you that you are tougher!

Be the 'Pro' in programming and get placement ready before the interview season begins. G"
441,My journey through the tech world from India to US | Vidushi | GeeksforGeeks,2.3K views,2 years ago,Videos,"Our courses : 
"
442,Interview Experience @ Amazon | GeeksforGeeks,4.3K views,2 years ago,Videos,"Our courses : 
"
443,Life Is Unfair Ft. Shonty badmash | LIVE Discord Session | A GeeksforGeeks Exclusive,1.8K views,2 years ago,Videos,Witness our first Discord Live full of fun and laughs. Join Now: 
444,Journey from JIIT to Adobe,4.6K views,2 years ago,Videos,"In this session, Priya will share her experience of going from JIIT to Adobe. She will talk about the technical interview round and the difficulties she faced during the whole journey.
"
445,GATE Live Classes | Prepare for GATE CS 2023 | GeeksforGeeks,2.4K views,2 years ago,About,"Start your GATE 2023 Preparation today. These LIVE classes will help you prepare for GATE 2023 and beyond. In addition to LIVE Classes, you will also get exclusive access to e-study materials, online doubt solving sessions, quizzes, assignments, PYQ solutions with real-time guidance"
446,DSA Self-Paced Course Preview | Sandeep Jain | GeeksforGeeks,85K views,2 years ago,Videos,"People kept asking what sets our DSA self-paced course apart from the rest?
Well, we thought why not give you a little preview of the same. Built with years of experience"
447,From Tier 3 to cracking multiple interviews | GeeksforGeeks,1.3K views,2 years ago,Videos,"Sagun will be sharing the whole structure and the ways in which she prepared for the interviews.
Sagun cracked the following company interviews -"
448,GeeksforGeeks: Redesigned,1.6K views,2 years ago,About,"Have you had a chance to have a look at our new and improved UI page? 
"
449,Journey from Tier 3 college to Microsoft | GeeksforGeeks,2.9K views,2 years ago,Videos,"Our courses : 
"
450,Geeks Summer Carnival 2022 | GeeksforGeeks,3.6K views,2 years ago,About,"Geeks Summer Carnival 2022- a virtual coding gala organized by GeeksforGeeks. In this fun carnival, tech buffs get an opportunity to exhibit their programming skills while participating"
451,Journey from Tier 3 to JusPay | GeeksforGeeks,3.7K views,2 years ago,Videos,"Are you Carnival ready?
Because we have got you covered for one full week of fun-filled coding activities and insightful webinars where you will meet the best of the industry giants. "
452,"Geeks Summer Carnival | 5th To 11th April, 2022 | GeeksforGeeks",4.4K views,2 years ago,About,"Geeks Summer Carnival 2022- a virtual coding gala organized by GeeksforGeeks. In this fun carnival, tech buffs get an opportunity to exhibit their programming skills while participating"
453,Geeks Summer Carnival 2022 | 5th April- 11th April | GeeksforGeeks,24K views,2 years ago,About,"Geeks Summer Carnival 2022- a virtual coding gala organized by GeeksforGeeks. In this fun carnival, tech buffs get an opportunity to exhibit their programming skills while participating in various coding & fun-carnival-themed events, attend insightful webinars, join virtual job fairs"
454,Interview experience at Flipkart | GeeksforGeeks,5.2K views,2 years ago,Videos,"Do you wish to be in Flipkart?
We have just the right person here to help you with cracking Flipkart interviews. 
Aman , SDE at Flipkart will not only guide you towards acing Flipkart interviews but also hel"
455,Learn Data Structures and Algorithms | GeeksforGeeks,33K views,2 years ago,Videos,"Most popular course on DSA trusted by over 50,000 students! 
DSA Self Paced Course - Start Today!
"
456,Get Your Tickets To The Geeks Summer Carnival | GeeksforGeeks,27K views,2 years ago,About,"“Buy the dip”… “Invest in XYZ Mutual Fund” … “Invest in NFTs”… and much more investment advice you must be getting on a regular basis but what if we tell you that this summer, you are about to get a golden opportunity to invest in something that will be your best career investment of the y"
457,Meet Some More Winners Of Bi-Wizard Coding Contests | GeeksforGeeks,442 views,2 years ago,Videos,"Hear what our previous winners- Mikulas, Mahi & Aarav, have to say about the school coding contest and how learning to code helped them win rewards and stay at the top of contest c"
458,Meet The Winners Of Bi-Wizard Coding Contests | GeeksforGeeks,907 views,2 years ago,About,"Hear what our previous winners- Jaewon, Ayush & Lipika, have to say about the school coding contest and how learning to code helped them win rewards and stay at the top of contest charts! Learn all about their learning journeys and maybe you can be the next winner!"
459,Conversation With Young Achievers | Meet the winners of Bi-Wizard Coding Contest | GeeksforGeeks,1.6K views,2 years ago,Videos,Hear what our previous winners have to say about the school coding contest and how learning to code has made them win rewards and stay at the top of contest charts! Learn all about their
460,Upgrade yourself In 29 Days | GeeksforGeeks,2.1K views,2 years ago,X,"We are coming up with a new series on GFG Practice Youtube channel.
This series has a great opportunity to leverage your own skills in just 29 days.
For more such updates please look into GFG Practice channel."
461,Master Bootcamp - Data Science (Live) | March 24-28 | GeeksforGeeks,2.6K views,2 years ago,Videos,"Welcome to the live master bootcamp of Data Science by our mentors, coming up with more and more opportunities for learners. Register now so that you can get our live sessions and proj"
462,Campus Mantri Program by GeeksforGeeks,2.1K views,2 years ago,About,The Campus Mantri programme by GeeksforGeeks provides you the opportunity to work in proximity with one of the most dynamic digital Ed-tech platforms. Our Campus Mantri's will be   recognized as the nominated “Mantri” of your campus and your duty will be to help the prole
463,Add DSA to your routine | GeeksforGeeks,8.9K views,2 years ago,About,"DSA plays a very important role in reducing the time complexity of the code. A problem might have several approaches, but you must pick the optimized one in order to stand out of the crowd. You must be able to write a code which takes less time to execute for any problem statement gi"
464,"Believe In Yourself | Code India Code | March, 6th",1.8K views,2 years ago,About,Your chance to compete with top coders from around the country is here. And it's bigger than ever seen before!
465,Find Your Purpose | Code India Code | GeeksforGeeks,1.8K views,2 years ago,X,Your chance to compete with top coders from around the country is here. And it's bigger than ever seen before!
466,Each Best Has A Story | Code India Code | March 6,1.3K views,2 years ago,About,"Your chance to compete with top coders from around the country is here. And it's bigger than ever seen before!
You stand a chance to win top rewards like a Macbook Pro, iPad Air, Smartwatch, Headphon"
467,5 Coding Myths that You Must Know! | GeeksforGeeks,1.7K views,2 years ago,Videos,"What thoughts come to your mind when I ask you what are the skill sets required to become a coder.
There are a lot of misconceptions people (especially beginners) have about programming a"
468,"Geeks Premier League | Write, Learn & Earn With GeeksforGeeks",860 views,2 years ago,X,"Yes, it's really true! You will get paid INR 1000 for each article of yours that is published. Wait no more, contribute today, and start earning some big bucks.
"
469,Code India Code | Biggest Coding Contest Ever By GeeksforGeeks,1.6K views,2 years ago,About,Your chance to compete with top coders from around the country is here. And it's bigger than ever seen before!
470,Bi-Wizard 2.0 | Coding Contest For School Students | GeeksforGeeks,16K views,2 years ago,About,"Follow these simple steps and earn amazing rewards 🎁:
1) Register for the Bi-Wizard coding tournament 🧙‍♂️🪄
2) Answer 2 coding questions and 20 quiz questions 💯"
471,GATE CS All-India Scholarship Test | GeeksforGeeks,34K views,2 years ago,About,It's never too early to start your preparations. So GeeksforGeeks has brought to you LIVE GATE CSE Classes that will help you with your preparation. You will get access to recorded content of 10+ subjects and also get access to live doubt classes and much more. 
472,Doubt Support Program | First Time Offer | GeeksforGeeks,3.8K views,2 years ago,About,Don't let doubts eat up too much of your learning time. Our 24*7 doubt support program will help clear all your doubts no matter how big or small! 
473,Job-A-Thon | Monthly Hiring Challenges | GeeksforGeeks,21K views,2 years ago,About,Participate in Job-A-Thon- Monthly Hiring Contests organised by GeeksforGeeks to help find you a job suitable to your skills! Our team works tirelessly to bring to you top-tech jobs every month. You can simultaneously apply for all the companies just be taking part in one hiring challenge. Y
474,"GATE Batch 2023 | Launching March, 21 | Register Now",2K views,2 years ago,About,Register Now for GATE CSE 2023 LIve Batch-: 
475,GATE CS All India Mock- 3 | GeeksforGeeks,6.8K views,3 years ago,Videos,"If you are looking to appear for GATE CS 2022 examination, then it is recommended for you to register for this mock test. With only a few days left for the test, we hope you make the best use of this time and plan your preparation strategy accordingly. All the best!"
476,Bi-Wizard School Coding Contest | GeeksforGeeks School,2.5K views,3 years ago,Videos,"Coding is the most in-demand and upcoming skill of the industry and it will continue to grow as the years pass. Despite all this, students often restrict themselves from getting started with cod"
477,Job-A-Thon 5 | GeeksforGeeks,1.1K views,3 years ago,Videos,A 2-hour long hiring challenge that will help you find the right job suited to your skills! Recommended for: Freshers. You can apply to all the 6 companies at once just by participating in this one contest. All the best!
478,Algo Geek- DSA Writing Contest | GeeksforGeeks,1.1K views,3 years ago,Videos,"Write and submit coding articles and stand a chance to win some amazing rewards, internship opportunities, & much more. Last date to submit your entry: 20th January, 2022. All the best!
"
479,Job-A-Thon 5 | Hiring Challenge By GeeksforGeeks,1.2K views,3 years ago,Videos,"Job-A-Thon is a monthly hiring challenge organized by GeeksforGeeks in association with several companies. 
"
480,GATE Capsule DAY-3 | Sakshi Singhal | GeeksforGeeks,839 views,3 years ago,About,"GATE 2022 is just around the corner. Step up your preparation with our daily GATE capsule for some helpful tips & tricks that will definitely help you in the final examination. 
"
481,GATE CS All India Mock- 2 | GeeksforGeeks,2.9K views,3 years ago,About,"If you are looking to appear for GATE CS 2022 examination, then it is recommended for you to register for this mock test. Assess yourself and plan out your last 3 week preparation strategy. Hurry up & start preparing today!"
482,GATE Capsule Day-2 | Mukesh Kumar | GeeksforGeeks,558 views,3 years ago,About,"GATE 2022 is just around the corner. Step up your preparation with our daily GATE capsule for some helpful tips & tricks that will definitely help you in the final examination. 
"
483,GATE Capsule DAY-1 | Mukesh Kumar | GeeksforGeeks,1.1K views,3 years ago,About,GATE 2022 is just around the corner. Step up your preparation with our daily GATE capsule for some helpful tips & tricks that will definitely help you in the final examination. 
484,Resolution Days 2022 | GeeksforGeeks,6K views,3 years ago,About,"A very happy new year 2022 to all our geeks! And with this new year, comes a whole lot of positivity and hope. And to celebrate this, GeeksforGeeks is proud to present to you- Resolution Days "
485,Hear What Our Geeks Have To Say | GeeksforGeeks,1.2K views,3 years ago,About,Let us know your thoughts about our Complete Interview Preparation Course in the comments! Learn more about it: 
486,Doubt Support Program | GeeksforGeeks,4.8K views,3 years ago,Videos,"Don't let doubts eat up too much of your learning time. Our 24*7 doubt support program will help clear all your doubts no matter how big or small!
"
487,GATE All India Mock (AIM-1) | GATE CS 2022 | GeeksforGeeks,1.3K views,3 years ago,About,"In the present time, the GATE exam is one of the most prominent exams in India. More than 1.5 lakh students appear in it every year. If you are one of them who are preparing hard for it and you are willing to get a good rank, then you have reached the right place. Participate in the GATE"
488,Job-A-Thon 3 | GeeksforGeeks,796 views,3 years ago,About,Job-A-Thon is a monthly hiring challenge organized by GeeksforGeeks in association with several companies. 
489,Get Hired With GeeksforGeeks And Win Exciting Rewards!,1.3K views,3 years ago,X,"Our job portal can help you find genuine, well-paying, and worthwhile job opportunities without any hassle or charges. At GFG Job Portal, you can search and explore plenty of job opportunities by applying various enriching filters including job location, salary, work experience, etc. Further "
490,Introduction To Python | GeeksforGeeks,10K views,3 years ago,About,"Do you have the following questions-
1. What is Python Language?
2. Why Python?"
491,Learning To Code Made Affordable | GeeksforGeeks ft. Aparshakti Khurana,79K views,3 years ago,About,"Learning to code has never been so easier and affordable! 
With a family of 5 million+ geeks and growing stronger everyday, GeeksforGeeks promises every coder a smooth learning experience with its vast library of articles, doubt-assistance progra"
492,Podcast Highlights || Google Interview Preparation,2.5K views,3 years ago,About,"Want to know what goes into the preparation of getting recruited by Google?

Hear the journey of an Amazon SDE intern, Vartika Singh who'll be joining Google as a Softw"
493,Start Your Coding Journey With Us | GeeksforGeeks ft. Aparshakti Khurana,168K views,3 years ago,About,"Learning to code has never been so easier and affordable! 
With a family of 5 million+ geeks and growing stronger everyday, GeeksforGeeks promises every coder a smooth learning experience with its vast library of articles, doubt-assistance progra"
494,Geek Week 2021 | Biggest Festival For Programmers Is Back | GeeksforGeeks,22K views,3 years ago,About,"Geek Week, the biggest festival for programmers is here! Get ready for a week full of coding contests, unbelievable discounts, hiring challenges and so much more. Geek Week 2021, in association with Sixteen Grams & Be Awara is here to lift your spirits up, and your skills!"
495,Spoiler Alert- They don't want you to know this!,1.6K views,3 years ago,About,"“Intern toh kuch karega nahi” they said… but well well well! 

I know this was supposed to be top secret but their words hurt a little, so here’s a little snea"
496,DSA Live Course | For Working Professionals | GeeksforGeeks,32K views,3 years ago,About,"Summer's over, but there's still plenty time for you to up-skill yourself for your next challenge! Improve your coding and problem-solving skills for product- based tech companies. We will "
497,True Geek Tournament | GeeksforGeeks,1.7K views,3 years ago,About,"7 𝘋𝘪𝘯 𝘩𝘢𝘪𝘯 𝘵𝘶𝘮𝘩𝘢𝘳𝘦 𝘱𝘢𝘢𝘴, 𝘴𝘪𝘳𝘧  7 𝘥𝘪𝘯. 𝘜𝘴𝘬𝘦 𝘣𝘢𝘢𝘥 𝘬𝘰𝘪 𝘣𝘩𝘪 𝘵𝘶𝘮𝘴𝘦 𝘺𝘦𝘩 ""𝘛𝘳𝘶𝘦 𝘎𝘦𝘦𝘬"" 𝘬𝘢 𝘵𝘪𝘵𝘭𝘦 𝘤𝘩𝘦𝘦𝘯 𝘯𝘩𝘪 𝘱𝘢𝘺𝘦𝘨𝘢...
"
498,5 Most Effective Tips to Ace Your First Internship | GeeksforGeeks,2.4K views,3 years ago,Videos,"During their first internship, a majority of the individuals often face various challenges especially in making a smooth transition from college environment or student’s mindset to the corporate world or working professional mindset. And this somehow restrains the interns to make the most "
